calc1,calc2,calc3,calc4,calc5,calc6,calc7,calc8,calc9,calc10,calc11,calc12,calc13,calc14,calc24,calc15,calc16,calc17,calc18,calc19,calc20,calc21,calc22,calc23,calc25,calc26,name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,230822,230822,0,0,0,0,0,0,0,0,230822,0,montlignon
0,0,0,0,123.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.8,123.8,0,montmagny
0,0,75370.9,0,0,0,0,0,0,0,0,0,0,0,2150177.62,0,0,0,0,0,2150177.62,0,0,75370.9,2225548.52,0,montmorency
0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,5867.74,5867.74,0,0,0,0,0,0,0,2.68,5870.42,0,montreuil-sur-epte
11290,0,0,0,0,0,0,0,0,0,0,0,0,0,2271142.08,0,0,0,0,0,2271142.08,0,0,11290,2282432.08,0,montsoult
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,asst - montsoult
0,0,0,0,0,0,195130.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195130.26,195130.26,0,mours
0,0,0,47118.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47118.38,47118.38,0,moussy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2270,2270,0,0,0,0,0,0,0,0,2270,0,nerville-la-foret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,asst - nerville-la-foret
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nesles-la-vallee
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3936.98,0,0,0,0,0,3936.98,0,0,0,3936.98,0,asst-nesles-la-vallee
0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,1800,0,neuilly-en-vexin
0,0,5255.42,0,0,0,0,0,0,0,0,0,0,0,6992953.9,0,0,0,0,6992953.9,0,0,0,5255.42,6998209.32,0,neuville-sur-oise
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,1986,0,nointel
0,0,0,0,0,0,0,0,0,0,0,0,0,0,27440.82,0,0,0,0,0,27440.82,0,0,0,27440.82,0,noisy-sur-oise
0,0,0,41027.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41027.3,41027.3,0,nucourt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eaux-asst - nucourt
274016,0,0,0,0,0,0,0,0,0,0,0,0,0,1466.54,1466.54,0,0,0,0,0,0,0,274016,275482.54,0,omerville
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,osny
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557138,1557138,0,0,0,0,0,0,0,0,1557138,0,parmain
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,perchay (le )
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,persan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,asst-persan
5516740,0,0,0,0,50228.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5566968.74,5566968.74,0,pierrelaye
0,0,0,0,0,0,0,0,0,0,0,0,0,0,704940.12,0,0,0,0,0,704940.12,0,0,0,704940.12,0,piscop
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plessis-bouchard (le )
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plessis-gassot (le )
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,le plessis-luzarches
0,0,38030,0,0,0,0,0,0,0,0,0,0,0,48520,48520,0,0,0,0,0,0,0,38030,86550,0,pontoise
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,station payant-pontoise
0,0,0,0,0,0,0,924171.38,0,0,0,0,0,0,1142706.2,0,0,0,0,0,1142706.2,0,0,924171.38,2066877.58,0,presles
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,asst-presles
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3701.82,3701.82,0,0,0,0,0,0,0,0,3701.82,0,puiseux-en-france
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,puiseux-pontoise
0,0,0,0,0,0,0,0,0,0,0,0,0,0,55570,0,0,0,0,0,55570,0,0,0,55570,0,roche-guyon (la )
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,eau - la-roche-guyon
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,asst - la-roche-guyon
5714157.64,0,0,607657.24,0,0,0,0,0,0,0,0,0,0,873227.46,0,0,0,0,0,873227.46,0,0,6321814.88,7195042.34,0,roissy-en-france
0,0,0,0,0,0,0,0,0,0,0,0,0,0,22352,22352,0,0,0,0,0,0,0,0,22352,0,ronquerolles
0,0,0,2211.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211.94,2211.94,0,sagy
0,0,0,0,0,0,0,0,0,91664,0,0,0,0,0,0,0,0,0,0,0,0,0,91664,91664,0,saint-brice-s-foret
